epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,1850,1623,1800,denied,1,childcare_region_south
0.5,1850,2078,1800,approved,0,childcare_region_south
0.5,1850,1534,1800,denied,1,childcare_region_south
0.5,1850,2167,1800,approved,0,childcare_region_south
0.5,1850,1712,1800,denied,1,childcare_region_south
1.0,1850,1789,1800,denied,1,childcare_region_south
1.0,1850,1912,1800,approved,0,childcare_region_south
1.0,1850,1756,1800,denied,1,childcare_region_south
1.0,1850,1945,1800,approved,0,childcare_region_south
1.0,1850,1834,1800,approved,0,childcare_region_south
1.5,1850,1823,1800,approved,0,childcare_region_south
1.5,1850,1878,1800,approved,0,childcare_region_south
1.5,1850,1812,1800,approved,0,childcare_region_south
1.5,1850,1889,1800,approved,0,childcare_region_south
1.5,1850,1845,1800,approved,0,childcare_region_south
2.0,1850,1842,1800,approved,0,childcare_region_south
2.0,1850,1858,1800,approved,0,childcare_region_south
2.0,1850,1838,1800,approved,0,childcare_region_south
2.0,1850,1862,1800,approved,0,childcare_region_south
2.0,1850,1848,1800,approved,0,childcare_region_south
3.0,1850,1849,1800,approved,0,childcare_region_south
3.0,1850,1851,1800,approved,0,childcare_region_south
3.0,1850,1849,1800,approved,0,childcare_region_south
3.0,1850,1851,1800,approved,0,childcare_region_south
3.0,1850,1850,1800,approved,0,childcare_region_south
