epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,28500,27234,28000,denied,1,emergency_zone_metro
0.5,28500,29789,28000,approved,0,emergency_zone_metro
0.5,28500,26891,28000,denied,1,emergency_zone_metro
0.5,28500,30123,28000,approved,0,emergency_zone_metro
0.5,28500,27456,28000,denied,1,emergency_zone_metro
1.0,28500,28234,28000,approved,0,emergency_zone_metro
1.0,28500,28789,28000,approved,0,emergency_zone_metro
1.0,28500,27923,28000,denied,1,emergency_zone_metro
1.0,28500,28912,28000,approved,0,emergency_zone_metro
1.0,28500,28456,28000,approved,0,emergency_zone_metro
1.5,28500,28423,28000,approved,0,emergency_zone_metro
1.5,28500,28578,28000,approved,0,emergency_zone_metro
1.5,28500,28356,28000,approved,0,emergency_zone_metro
1.5,28500,28645,28000,approved,0,emergency_zone_metro
1.5,28500,28489,28000,approved,0,emergency_zone_metro
2.0,28500,28478,28000,approved,0,emergency_zone_metro
2.0,28500,28523,28000,approved,0,emergency_zone_metro
2.0,28500,28456,28000,approved,0,emergency_zone_metro
2.0,28500,28545,28000,approved,0,emergency_zone_metro
2.0,28500,28495,28000,approved,0,emergency_zone_metro
3.0,28500,28498,28000,approved,0,emergency_zone_metro
3.0,28500,28502,28000,approved,0,emergency_zone_metro
3.0,28500,28499,28000,approved,0,emergency_zone_metro
3.0,28500,28501,28000,approved,0,emergency_zone_metro
3.0,28500,28500,28000,approved,0,emergency_zone_metro
