epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,15200,14567,15000,denied,1,fire_zone_alpha
0.5,15200,15834,15000,approved,0,fire_zone_alpha
0.5,15200,14289,15000,denied,1,fire_zone_alpha
0.5,15200,16012,15000,approved,0,fire_zone_alpha
0.5,15200,14823,15000,denied,1,fire_zone_alpha
1.0,15200,15089,15000,approved,0,fire_zone_alpha
1.0,15200,15312,15000,approved,0,fire_zone_alpha
1.0,15200,14934,15000,denied,1,fire_zone_alpha
1.0,15200,15423,15000,approved,0,fire_zone_alpha
1.0,15200,15156,15000,approved,0,fire_zone_alpha
1.5,15200,15167,15000,approved,0,fire_zone_alpha
1.5,15200,15234,15000,approved,0,fire_zone_alpha
1.5,15200,15123,15000,approved,0,fire_zone_alpha
1.5,15200,15278,15000,approved,0,fire_zone_alpha
1.5,15200,15189,15000,approved,0,fire_zone_alpha
2.0,15200,15189,15000,approved,0,fire_zone_alpha
2.0,15200,15212,15000,approved,0,fire_zone_alpha
2.0,15200,15178,15000,approved,0,fire_zone_alpha
2.0,15200,15223,15000,approved,0,fire_zone_alpha
2.0,15200,15195,15000,approved,0,fire_zone_alpha
3.0,15200,15198,15000,approved,0,fire_zone_alpha
3.0,15200,15202,15000,approved,0,fire_zone_alpha
3.0,15200,15199,15000,approved,0,fire_zone_alpha
3.0,15200,15201,15000,approved,0,fire_zone_alpha
3.0,15200,15200,15000,approved,0,fire_zone_alpha
