epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,12800,12123,12500,denied,1,health_district_valley
0.5,12800,13478,12500,approved,0,health_district_valley
0.5,12800,11934,12500,denied,1,health_district_valley
0.5,12800,13689,12500,approved,0,health_district_valley
0.5,12800,12234,12500,denied,1,health_district_valley
1.0,12800,12612,12500,approved,0,health_district_valley
1.0,12800,12989,12500,approved,0,health_district_valley
1.0,12800,12456,12500,denied,1,health_district_valley
1.0,12800,13067,12500,approved,0,health_district_valley
1.0,12800,12734,12500,approved,0,health_district_valley
1.5,12800,12734,12500,approved,0,health_district_valley
1.5,12800,12867,12500,approved,0,health_district_valley
1.5,12800,12689,12500,approved,0,health_district_valley
1.5,12800,12912,12500,approved,0,health_district_valley
1.5,12800,12778,12500,approved,0,health_district_valley
2.0,12800,12778,12500,approved,0,health_district_valley
2.0,12800,12823,12500,approved,0,health_district_valley
2.0,12800,12756,12500,approved,0,health_district_valley
2.0,12800,12845,12500,approved,0,health_district_valley
2.0,12800,12789,12500,approved,0,health_district_valley
3.0,12800,12798,12500,approved,0,health_district_valley
3.0,12800,12802,12500,approved,0,health_district_valley
3.0,12800,12799,12500,approved,0,health_district_valley
3.0,12800,12801,12500,approved,0,health_district_valley
3.0,12800,12800,12500,approved,0,health_district_valley
