epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,45000,43234,45000,denied,1,transit_corridor_east
0.5,45000,46891,45000,approved,0,transit_corridor_east
0.5,45000,42567,45000,denied,1,transit_corridor_east
0.5,45000,47234,45000,approved,0,transit_corridor_east
0.5,45000,43823,45000,denied,1,transit_corridor_east
1.0,45000,44512,45000,denied,1,transit_corridor_east
1.0,45000,45489,45000,approved,0,transit_corridor_east
1.0,45000,44234,45000,denied,1,transit_corridor_east
1.0,45000,45678,45000,approved,0,transit_corridor_east
1.0,45000,44867,45000,denied,1,transit_corridor_east
1.5,45000,44834,45000,denied,1,transit_corridor_east
1.5,45000,45167,45000,approved,0,transit_corridor_east
1.5,45000,44712,45000,denied,1,transit_corridor_east
1.5,45000,45289,45000,approved,0,transit_corridor_east
1.5,45000,44956,45000,denied,1,transit_corridor_east
2.0,45000,44923,45000,denied,1,transit_corridor_east
2.0,45000,45078,45000,approved,0,transit_corridor_east
2.0,45000,44867,45000,denied,1,transit_corridor_east
2.0,45000,45134,45000,approved,0,transit_corridor_east
2.0,45000,44978,45000,denied,1,transit_corridor_east
3.0,45000,44989,45000,denied,1,transit_corridor_east
3.0,45000,45012,45000,approved,0,transit_corridor_east
3.0,45000,44978,45000,denied,1,transit_corridor_east
3.0,45000,45023,45000,approved,0,transit_corridor_east
3.0,45000,45000,45000,approved,0,transit_corridor_east
