epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,3200,2834,3000,denied,1,senior_district_north
0.5,3200,3567,3000,approved,0,senior_district_north
0.5,3200,2712,3000,denied,1,senior_district_north
0.5,3200,3689,3000,approved,0,senior_district_north
0.5,3200,2923,3000,denied,1,senior_district_north
1.0,3200,3089,3000,approved,0,senior_district_north
1.0,3200,3312,3000,approved,0,senior_district_north
1.0,3200,2967,3000,denied,1,senior_district_north
1.0,3200,3234,3000,approved,0,senior_district_north
1.0,3200,3156,3000,approved,0,senior_district_north
1.5,3200,3167,3000,approved,0,senior_district_north
1.5,3200,3234,3000,approved,0,senior_district_north
1.5,3200,3123,3000,approved,0,senior_district_north
1.5,3200,3256,3000,approved,0,senior_district_north
1.5,3200,3189,3000,approved,0,senior_district_north
2.0,3200,3189,3000,approved,0,senior_district_north
2.0,3200,3212,3000,approved,0,senior_district_north
2.0,3200,3178,3000,approved,0,senior_district_north
2.0,3200,3223,3000,approved,0,senior_district_north
2.0,3200,3195,3000,approved,0,senior_district_north
3.0,3200,3198,3000,approved,0,senior_district_north
3.0,3200,3202,3000,approved,0,senior_district_north
3.0,3200,3199,3000,approved,0,senior_district_north
3.0,3200,3201,3000,approved,0,senior_district_north
3.0,3200,3200,3000,approved,0,senior_district_north
