epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,4850,4712,5000,denied,0,pine_ridge_001
0.5,4850,5089,5000,approved,1,pine_ridge_001
0.5,4850,4623,5000,denied,0,pine_ridge_001
0.5,4850,5142,5000,approved,1,pine_ridge_001
0.5,4850,4567,5000,denied,0,pine_ridge_001
1.0,4850,4801,5000,denied,0,pine_ridge_001
1.0,4850,4923,5000,denied,0,pine_ridge_001
1.0,4850,4789,5000,denied,0,pine_ridge_001
1.0,4850,5012,5000,approved,1,pine_ridge_001
1.0,4850,4856,5000,denied,0,pine_ridge_001
2.0,4850,4834,5000,denied,0,pine_ridge_001
2.0,4850,4867,5000,denied,0,pine_ridge_001
2.0,4850,4842,5000,denied,0,pine_ridge_001
2.0,4850,4858,5000,denied,0,pine_ridge_001
2.0,4850,4845,5000,denied,0,pine_ridge_001
3.0,4850,4848,5000,denied,0,pine_ridge_001
3.0,4850,4852,5000,denied,0,pine_ridge_001
3.0,4850,4849,5000,denied,0,pine_ridge_001
3.0,4850,4851,5000,denied,0,pine_ridge_001
3.0,4850,4850,5000,denied,0,pine_ridge_001
