epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,1247,1189,1200,denied,1,district_001
0.5,1247,1312,1200,approved,0,district_001
0.5,1247,1156,1200,denied,1,district_001
0.5,1247,1278,1200,approved,0,district_001
0.5,1247,1134,1200,denied,1,district_001
1.0,1247,1231,1200,approved,0,district_001
1.0,1247,1258,1200,approved,0,district_001
1.0,1247,1195,1200,denied,1,district_001
1.0,1247,1267,1200,approved,0,district_001
1.0,1247,1223,1200,approved,0,district_001
2.0,1247,1242,1200,approved,0,district_001
2.0,1247,1251,1200,approved,0,district_001
2.0,1247,1238,1200,approved,0,district_001
2.0,1247,1255,1200,approved,0,district_001
2.0,1247,1244,1200,approved,0,district_001
3.0,1247,1246,1200,approved,0,district_001
3.0,1247,1248,1200,approved,0,district_001
3.0,1247,1245,1200,approved,0,district_001
3.0,1247,1249,1200,approved,0,district_001
3.0,1247,1247,1200,approved,0,district_001
0.5,1247,1198,1200,denied,1,district_002
0.5,1247,1289,1200,approved,0,district_002
0.5,1247,1167,1200,denied,1,district_002
0.5,1247,1301,1200,approved,0,district_002
0.5,1247,1145,1200,denied,1,district_002
1.0,1247,1212,1200,approved,0,district_002
1.0,1247,1271,1200,approved,0,district_002
1.0,1247,1184,1200,denied,1,district_002
1.0,1247,1253,1200,approved,0,district_002
1.0,1247,1239,1200,approved,0,district_002
