epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,2450,2189,2500,denied,0,housing_zone_west
0.5,2450,2712,2500,approved,1,housing_zone_west
0.5,2450,2067,2500,denied,0,housing_zone_west
0.5,2450,2834,2500,approved,1,housing_zone_west
0.5,2450,2298,2500,denied,0,housing_zone_west
1.0,2450,2389,2500,denied,0,housing_zone_west
1.0,2450,2512,2500,approved,1,housing_zone_west
1.0,2450,2334,2500,denied,0,housing_zone_west
1.0,2450,2567,2500,approved,1,housing_zone_west
1.0,2450,2423,2500,denied,0,housing_zone_west
1.5,2450,2434,2500,denied,0,housing_zone_west
1.5,2450,2467,2500,denied,0,housing_zone_west
1.5,2450,2412,2500,denied,0,housing_zone_west
1.5,2450,2489,2500,denied,0,housing_zone_west
1.5,2450,2445,2500,denied,0,housing_zone_west
2.0,2450,2445,2500,denied,0,housing_zone_west
2.0,2450,2456,2500,denied,0,housing_zone_west
2.0,2450,2438,2500,denied,0,housing_zone_west
2.0,2450,2462,2500,denied,0,housing_zone_west
2.0,2450,2448,2500,denied,0,housing_zone_west
3.0,2450,2449,2500,denied,0,housing_zone_west
3.0,2450,2451,2500,denied,0,housing_zone_west
3.0,2450,2450,2500,denied,0,housing_zone_west
3.0,2450,2451,2500,denied,0,housing_zone_west
3.0,2450,2450,2500,denied,0,housing_zone_west
