epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,8500,8234,8000,approved,0,library_district_001
0.5,8500,8891,8000,approved,0,library_district_001
0.5,8500,7823,8000,denied,1,library_district_001
0.5,8500,8645,8000,approved,0,library_district_001
0.5,8500,7712,8000,denied,1,library_district_001
1.0,8500,8412,8000,approved,0,library_district_001
1.0,8500,8567,8000,approved,0,library_district_001
1.0,8500,8289,8000,approved,0,library_district_001
1.0,8500,7956,8000,denied,1,library_district_001
1.0,8500,8634,8000,approved,0,library_district_001
1.5,8500,8478,8000,approved,0,library_district_001
1.5,8500,8521,8000,approved,0,library_district_001
1.5,8500,8389,8000,approved,0,library_district_001
1.5,8500,8612,8000,approved,0,library_district_001
1.5,8500,8445,8000,approved,0,library_district_001
2.0,8500,8489,8000,approved,0,library_district_001
2.0,8500,8512,8000,approved,0,library_district_001
2.0,8500,8478,8000,approved,0,library_district_001
2.0,8500,8523,8000,approved,0,library_district_001
2.0,8500,8495,8000,approved,0,library_district_001
3.0,8500,8498,8000,approved,0,library_district_001
3.0,8500,8502,8000,approved,0,library_district_001
3.0,8500,8497,8000,approved,0,library_district_001
3.0,8500,8503,8000,approved,0,library_district_001
3.0,8500,8500,8000,approved,0,library_district_001
