epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,6200,5678,6000,denied,1,parks_district_central
0.5,6200,6723,6000,approved,0,parks_district_central
0.5,6200,5512,6000,denied,1,parks_district_central
0.5,6200,6889,6000,approved,0,parks_district_central
0.5,6200,5834,6000,denied,1,parks_district_central
1.0,6200,6089,6000,approved,0,parks_district_central
1.0,6200,6312,6000,approved,0,parks_district_central
1.0,6200,5956,6000,denied,1,parks_district_central
1.0,6200,6389,6000,approved,0,parks_district_central
1.0,6200,6167,6000,approved,0,parks_district_central
1.5,6200,6156,6000,approved,0,parks_district_central
1.5,6200,6245,6000,approved,0,parks_district_central
1.5,6200,6112,6000,approved,0,parks_district_central
1.5,6200,6289,6000,approved,0,parks_district_central
1.5,6200,6189,6000,approved,0,parks_district_central
2.0,6200,6189,6000,approved,0,parks_district_central
2.0,6200,6212,6000,approved,0,parks_district_central
2.0,6200,6178,6000,approved,0,parks_district_central
2.0,6200,6223,6000,approved,0,parks_district_central
2.0,6200,6195,6000,approved,0,parks_district_central
3.0,6200,6198,6000,approved,0,parks_district_central
3.0,6200,6202,6000,approved,0,parks_district_central
3.0,6200,6199,6000,approved,0,parks_district_central
3.0,6200,6201,6000,approved,0,parks_district_central
3.0,6200,6200,6000,approved,0,parks_district_central
