epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,710000,692145,700000,denied,1,maricopa_east_001
0.5,710000,731267,700000,approved,0,maricopa_east_001
0.5,710000,685432,700000,denied,1,maricopa_east_001
0.5,710000,728934,700000,approved,0,maricopa_east_001
0.5,710000,678901,700000,denied,1,maricopa_east_001
1.0,710000,705234,700000,approved,0,maricopa_east_001
1.0,710000,714567,700000,approved,0,maricopa_east_001
1.0,710000,698345,700000,denied,1,maricopa_east_001
1.0,710000,712890,700000,approved,0,maricopa_east_001
1.0,710000,707123,700000,approved,0,maricopa_east_001
2.0,710000,708456,700000,approved,0,maricopa_east_001
2.0,710000,711234,700000,approved,0,maricopa_east_001
2.0,710000,709012,700000,approved,0,maricopa_east_001
2.0,710000,710567,700000,approved,0,maricopa_east_001
2.0,710000,709789,700000,approved,0,maricopa_east_001
3.0,710000,709890,700000,approved,0,maricopa_east_001
3.0,710000,710123,700000,approved,0,maricopa_east_001
3.0,710000,709956,700000,approved,0,maricopa_east_001
3.0,710000,710045,700000,approved,0,maricopa_east_001
3.0,710000,710000,700000,approved,0,maricopa_east_001
